Strains	lavene	p.value	p.valueW	Mean	fc	ci	p.adj
L53	0.472211278191669	0.000597718694297217	0.0114172214879117	0.898373983739837	0.473657925363678	0.174666463927884	0.00171483432294926
L73	0.959107373855104	0.000727435597087479	0.0518299272179097	0.697708333333333	0.272992274957174	0.137123618830485	0.00197786410711367
L78	0.832669987908157	0.000336705734853962	0.0199644533052161	0.648533437587543	0.223817379211384	0.0702112074000052	0.00108581074185464
L82	0.503325408654276	0.000149219491893586	0.0114172214879117	0.913003272158202	0.488287213782042	0.145108923851926	0.000559237014664251
L84	0.124345951641931	0.11307298869338	0.177909594986983	0.64011732628274	0.21540126790658	0.287463916903767	0.146994885301394
L98	0.299417653413816	0.0121516350271377	0.0199644533052161	0.829121863799283	0.404405805423124	0.291320059224008	0.020465911624653
L347	0.395689756950644	0.0643659161269452	0.0229903940924649	0.448618102446474	0.127221654734754	0.120007321851504	0.0889575452119908
L350	0.30372978939933	0.276506243259631	0.329859194655477	0.373682722979398	0.0522862752676783	0.086043723323194	0.319518325544463
L351	0.304323221773991	0.000360079176982344	0.00576612091423726	0.52999658973155	0.20860014201983	0.0729722389312429	0.0011434575391195
L354	0.185237164161501	2.90611279792021e-05	0.00811311726556578	0.669658061957558	0.348261614245838	0.0956733072539926	0.000159071437359843
L357	0.442766750805881	0.107171211798839	0.193876430742063	0.267759986522796	-0.0536364611889241	0.0514004598913958	0.140198817950683
L359	0.711492504110504	0.153035804623942	0.143851869654854	0.271684881198661	-0.0497115665130589	0.0558572469628211	0.188910666835489
L361	0.325518489729022	2.97531896664825e-08	0.0121857803553448	0.785935808201634	0.464539360489914	0.0256559623505403	6.87629272292041e-07
L363	0.922996310169244	3.00165270594552e-09	0.00267766209676881	0.972826086956522	0.651429639244802	0.0642560937932822	8.32458350448891e-08
L369	0.0323357989671665	4.7895247626707e-06	0.00700066342856568	1	0.67860355228828	9.0248847422673e-17	4.42764955838002e-05
